Geography,Geographic Area Name,Estimate!!Total!!Total population,Margin of Error!!Total!!Total population,Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years),Margin of Error!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years)
1400000US06001400100,Census Tract 4001; Alameda County; California,3269,452,50.8,1.4
1400000US06077003405,Census Tract 34.05; San Joaquin County; California,4466,719,29.9,2.3
1400000US06077003406,Census Tract 34.06; San Joaquin County; California,3768,698,29.8,3.9
1400000US06077003407,Census Tract 34.07; San Joaquin County; California,2608,470,34.1,4.7
1400000US06077003409,Census Tract 34.09; San Joaquin County; California,4073,399,32.3,4.2
1400000US06077003410,Census Tract 34.10; San Joaquin County; California,6531,908,31.6,2.1
1400000US06077003501,Census Tract 35.01; San Joaquin County; California,2183,462,52.5,16.4
1400000US06077003502,Census Tract 35.02; San Joaquin County; California,2934,435,46.2,8.5
1400000US06077003503,Census Tract 35.03; San Joaquin County; California,8750,1856,37.7,3.3
1400000US06077003504,Census Tract 35.04; San Joaquin County; California,8244,918,31.9,3.9
1400000US06077003601,Census Tract 36.01; San Joaquin County; California,2976,550,46.0,10.1
1400000US06077003602,Census Tract 36.02; San Joaquin County; California,4476,895,29.1,6.2
1400000US06077003700,Census Tract 37; San Joaquin County; California,3489,532,39.4,9.9
1400000US06077003803,Census Tract 38.03; San Joaquin County; California,6728,774,33.8,2.8
1400000US06077003804,Census Tract 38.04; San Joaquin County; California,5477,734,37.0,1.9
1400000US06077003805,Census Tract 38.05; San Joaquin County; California,3345,511,34.0,4.0
1400000US06077003806,Census Tract 38.06; San Joaquin County; California,3851,501,28.5,3.1
1400000US06077003807,Census Tract 38.07; San Joaquin County; California,2543,882,31.7,6.9
1400000US06077003808,Census Tract 38.08; San Joaquin County; California,4850,662,34.3,4.6
1400000US06077003900,Census Tract 39; San Joaquin County; California,1612,322,40.4,15.4
1400000US06077004001,Census Tract 40.01; San Joaquin County; California,2249,314,36.0,4.6
1400000US06077004003,Census Tract 40.03; San Joaquin County; California,5135,596,37.2,7.6
1400000US06077004004,Census Tract 40.04; San Joaquin County; California,6708,1074,36.7,3.0
1400000US06077004104,Census Tract 41.04; San Joaquin County; California,4122,547,46.5,6.2
1400000US06077004105,Census Tract 41.05; San Joaquin County; California,5197,759,46.2,8.3
1400000US06077004106,Census Tract 41.06; San Joaquin County; California,2464,485,33.6,3.3
1400000US06077004107,Census Tract 41.07; San Joaquin County; California,3456,509,36.4,4.5
1400000US06077004108,Census Tract 41.08; San Joaquin County; California,7245,928,37.5,3.0
1400000US06077004202,Census Tract 42.02; San Joaquin County; California,1902,299,57.3,6.5
1400000US06077004203,Census Tract 42.03; San Joaquin County; California,4192,795,31.2,4.1
1400000US06077004204,Census Tract 42.04; San Joaquin County; California,2748,249,42.1,10.1
1400000US06077004205,Census Tract 42.05; San Joaquin County; California,3213,496,42.0,9.0
1400000US06077004206,Census Tract 42.06; San Joaquin County; California,3013,681,37.6,10.9
1400000US06077004302,Census Tract 43.02; San Joaquin County; California,6595,703,34.8,2.0
1400000US06077004305,Census Tract 43.05; San Joaquin County; California,5939,698,37.8,3.3
1400000US06077004307,Census Tract 43.07; San Joaquin County; California,3880,656,35.1,4.0
1400000US06077004308,Census Tract 43.08; San Joaquin County; California,4014,593,31.7,2.9
1400000US06077004309,Census Tract 43.09; San Joaquin County; California,2252,349,37.8,2.9
1400000US06077004310,Census Tract 43.10; San Joaquin County; California,2830,749,41.0,11.8
1400000US06077004402,Census Tract 44.02; San Joaquin County; California,5903,937,35.4,3.5
1400000US06077004403,Census Tract 44.03; San Joaquin County; California,3800,423,27.9,1.6
1400000US06077004404,Census Tract 44.04; San Joaquin County; California,4401,639,25.1,1.3
1400000US06077004501,Census Tract 45.01; San Joaquin County; California,2330,355,37.7,7.1
1400000US06077004502,Census Tract 45.02; San Joaquin County; California,4304,709,27.3,3.5
1400000US06077004600,Census Tract 46; San Joaquin County; California,6511,837,38.1,4.6
1400000US06077004701,Census Tract 47.01; San Joaquin County; California,3426,597,41.5,5.2
1400000US06077004703,Census Tract 47.03; San Joaquin County; California,3728,567,43.6,5.1
1400000US06077004704,Census Tract 47.04; San Joaquin County; California,5112,699,38.8,5.2
1400000US06077004800,Census Tract 48; San Joaquin County; California,5485,803,39.3,5.1
1400000US06077004903,Census Tract 49.03; San Joaquin County; California,2932,485,38.9,12.6
1400000US06077004904,Census Tract 49.04; San Joaquin County; California,4592,500,33.3,6.1
1400000US06077004905,Census Tract 49.05; San Joaquin County; California,2487,555,46.3,9.4
1400000US06077004906,Census Tract 49.06; San Joaquin County; California,2990,998,33.1,10.2
1400000US06077005001,Census Tract 50.01; San Joaquin County; California,6192,545,40.9,7.7
1400000US06077005003,Census Tract 50.03; San Joaquin County; California,6158,651,40.8,2.4
1400000US06077005004,Census Tract 50.04; San Joaquin County; California,5928,843,33.1,4.7
1400000US06077005106,Census Tract 51.06; San Joaquin County; California,12516,1172,36.8,3.8
1400000US06077005108,Census Tract 51.08; San Joaquin County; California,5445,808,29.4,1.9
1400000US06077005109,Census Tract 51.09; San Joaquin County; California,3493,367,34.0,4.9
1400000US06077005119,Census Tract 51.19; San Joaquin County; California,9550,830,33.4,3.7
1400000US06077005122,Census Tract 51.22; San Joaquin County; California,7781,2446,35.9,12.1
1400000US06077005123,Census Tract 51.23; San Joaquin County; California,4242,509,39.2,4.5
1400000US06077005124,Census Tract 51.24; San Joaquin County; California,3340,340,34.8,4.9
1400000US06077005125,Census Tract 51.25; San Joaquin County; California,2086,284,37.7,4.9
1400000US06077005126,Census Tract 51.26; San Joaquin County; California,5242,1387,33.9,4.7
1400000US06077005127,Census Tract 51.27; San Joaquin County; California,7580,1068,36.1,3.1
1400000US06077005129,Census Tract 51.29; San Joaquin County; California,4439,688,32.2,3.6
1400000US06077005130,Census Tract 51.30; San Joaquin County; California,3265,376,34.8,3.0
1400000US06077005131,Census Tract 51.31; San Joaquin County; California,7931,1006,48.0,3.5
1400000US06077005132,Census Tract 51.32; San Joaquin County; California,3075,704,33.7,9.3
1400000US06077005133,Census Tract 51.33; San Joaquin County; California,4447,461,34.2,3.8
1400000US06077005134,Census Tract 51.34; San Joaquin County; California,4883,653,35.2,3.8
1400000US06077005135,Census Tract 51.35; San Joaquin County; California,8420,945,47.3,4.2
1400000US06077005136,Census Tract 51.36; San Joaquin County; California,3348,764,35.8,2.5
1400000US06077005137,Census Tract 51.37; San Joaquin County; California,7752,1277,35.5,3.9
1400000US06077005138,Census Tract 51.38; San Joaquin County; California,2884,560,37.4,6.7
1400000US06077005139,Census Tract 51.39; San Joaquin County; California,3212,528,44.1,4.4
1400000US06077005140,Census Tract 51.40; San Joaquin County; California,3864,674,43.2,7.0
1400000US06077005141,Census Tract 51.41; San Joaquin County; California,3040,448,47.1,9.8
1400000US06077005208,Census Tract 52.08; San Joaquin County; California,6863,735,37.1,2.3
1400000US06077005211,Census Tract 52.11; San Joaquin County; California,4568,380,33.2,4.2
1400000US06077005212,Census Tract 52.12; San Joaquin County; California,7352,1754,38.9,3.3
1400000US06077005213,Census Tract 52.13; San Joaquin County; California,3300,411,37.8,4.3
1400000US06077005214,Census Tract 52.14; San Joaquin County; California,8130,813,33.9,4.5
1400000US06077005215,Census Tract 52.15; San Joaquin County; California,4477,994,35.8,3.7
1400000US06077005216,Census Tract 52.16; San Joaquin County; California,5157,791,38.3,6.3
1400000US06077005217,Census Tract 52.17; San Joaquin County; California,3497,783,34.1,4.6
1400000US06077005218,Census Tract 52.18; San Joaquin County; California,3808,317,39.0,6.9
1400000US06077005219,Census Tract 52.19; San Joaquin County; California,5401,615,40.4,2.8
1400000US06077005220,Census Tract 52.20; San Joaquin County; California,2270,456,40.8,3.1
1400000US06077005221,Census Tract 52.21; San Joaquin County; California,9430,1346,39.1,5.9
1400000US06077005222,Census Tract 52.22; San Joaquin County; California,4969,1382,38.6,9.0
1400000US06077005223,Census Tract 52.23; San Joaquin County; California,9191,1339,32.2,1.2
1400000US06077005224,Census Tract 52.24; San Joaquin County; California,5834,1072,36.4,8.1
1400000US06077005225,Census Tract 52.25; San Joaquin County; California,3109,612,35.5,4.8
1400000US06077005303,Census Tract 53.03; San Joaquin County; California,6454,1522,28.1,3.9
1400000US06077005307,Census Tract 53.07; San Joaquin County; California,3403,449,30.6,1.2
1400000US06077005308,Census Tract 53.08; San Joaquin County; California,4356,479,30.9,2.5
1400000US06077005309,Census Tract 53.09; San Joaquin County; California,2727,381,33.9,5.7
1400000US06077005310,Census Tract 53.10; San Joaquin County; California,4440,860,30.0,2.6
1400000US06077005311,Census Tract 53.11; San Joaquin County; California,3055,652,29.5,2.7
1400000US06077005312,Census Tract 53.12; San Joaquin County; California,3073,408,37.9,4.8
1400000US06077005403,Census Tract 54.03; San Joaquin County; California,6249,867,38.5,3.8
1400000US06077005405,Census Tract 54.05; San Joaquin County; California,3862,490,29.9,2.8
1400000US06077005406,Census Tract 54.06; San Joaquin County; California,3129,512,32.6,2.2
1400000US06077005502,Census Tract 55.02; San Joaquin County; California,3096,491,33.8,4.3
1400000US06077005503,Census Tract 55.03; San Joaquin County; California,1704,301,37.7,4.4
1400000US06077980000,Census Tract 9800; San Joaquin County; California,1629,47,41.1,2.6
1400000US06079010016,Census Tract 100.16; San Luis Obispo County; California,5206,860,39.7,6.5
1400000US06079010017,Census Tract 100.17; San Luis Obispo County; California,4483,544,35.7,3.8
1400000US06079010101,Census Tract 101.01; San Luis Obispo County; California,1707,255,43.5,9.2
1400000US06079010103,Census Tract 101.03; San Luis Obispo County; California,3088,739,41.7,6.5
1400000US06079010104,Census Tract 101.04; San Luis Obispo County; California,3100,866,26.9,4.2
1400000US06079010202,Census Tract 102.02; San Luis Obispo County; California,6017,619,41.6,3.2
1400000US06079010204,Census Tract 102.04; San Luis Obispo County; California,5989,693,37.6,3.5
1400000US06079010205,Census Tract 102.05; San Luis Obispo County; California,5570,799,36.5,2.2
1400000US06079010206,Census Tract 102.06; San Luis Obispo County; California,3252,371,47.3,3.5
1400000US06079010207,Census Tract 102.07; San Luis Obispo County; California,4132,714,47.2,7.6
1400000US06079010301,Census Tract 103.01; San Luis Obispo County; California,4054,626,38.5,5.2
1400000US06079010302,Census Tract 103.02; San Luis Obispo County; California,3454,455,49.9,7.8
1400000US06079010303,Census Tract 103.03; San Luis Obispo County; California,2804,532,40.7,6.8
1400000US06079010403,Census Tract 104.03; San Luis Obispo County; California,3893,580,58.6,4.9
1400000US06079010404,Census Tract 104.04; San Luis Obispo County; California,1932,205,61.8,1.8
1400000US06079010504,Census Tract 105.04; San Luis Obispo County; California,2361,369,60.4,1.9
1400000US06079010505,Census Tract 105.05; San Luis Obispo County; California,3477,531,48.1,9.9
1400000US06079010506,Census Tract 105.06; San Luis Obispo County; California,2283,560,51.5,4.1
1400000US06079010602,Census Tract 106.02; San Luis Obispo County; California,3919,586,54.4,4.7
1400000US06079010603,Census Tract 106.03; San Luis Obispo County; California,1359,257,52.8,7.7
1400000US06079010701,Census Tract 107.01; San Luis Obispo County; California,5068,448,46.1,5.5
1400000US06079010703,Census Tract 107.03; San Luis Obispo County; California,3793,742,38.8,6.6
1400000US06079010707,Census Tract 107.07; San Luis Obispo County; California,6295,641,49.5,5.4
1400000US06079010902,Census Tract 109.02; San Luis Obispo County; California,4708,612,21.4,0.3
1400000US06079010903,Census Tract 109.03; San Luis Obispo County; California,7151,376,19.5,0.2
1400000US06079010904,Census Tract 109.04; San Luis Obispo County; California,2705,46,19.6,0.3
1400000US06079011001,Census Tract 110.01; San Luis Obispo County; California,4504,449,39.6,4.7
1400000US06079011002,Census Tract 110.02; San Luis Obispo County; California,3414,584,28.1,5.0
1400000US06079011101,Census Tract 111.01; San Luis Obispo County; California,3683,420,28.5,5.8
1400000US06079011103,Census Tract 111.03; San Luis Obispo County; California,3422,472,35.5,5.3
1400000US06079011104,Census Tract 111.04; San Luis Obispo County; California,1853,240,31.9,4.3
1400000US06079011105,Census Tract 111.05; San Luis Obispo County; California,3805,426,30.0,2.9
1400000US06079011201,Census Tract 112.01; San Luis Obispo County; California,4628,536,22.5,0.7
1400000US06079011202,Census Tract 112.02; San Luis Obispo County; California,4255,1619,24.2,2.3
1400000US06079011300,Census Tract 113; San Luis Obispo County; California,6429,948,34.2,2.9
1400000US06079011400,Census Tract 114; San Luis Obispo County; California,2591,50,43.2,1.3
1400000US06079011501,Census Tract 115.01; San Luis Obispo County; California,1836,273,36.9,2.8
1400000US06079011505,Census Tract 115.05; San Luis Obispo County; California,4703,404,39.8,4.6
1400000US06079011600,Census Tract 116; San Luis Obispo County; California,4294,770,56.9,4.1
1400000US06079011704,Census Tract 117.04; San Luis Obispo County; California,3301,386,50.9,6.8
